Lambda,Test Accuracy,Validation Accuracy,Overall Sparsity,Overall Mean Gate,Layer1 Sparsity,Layer2 Sparsity,Mean Gate Layer1,Mean Gate Layer2,% Gates Near Zero,% Gates Near One,Pruning Onset Epoch,Training Time
0.001,80.23,78.85,0.0,0.3491373259557844,0.0,0.0,0.34875184297561646,0.5070311427116394,0.0,0.04233514978080857,N/A,946.53
0.01,80.34,78.72,20.693801753531417,0.2567750225401598,20.73955535888672,1.953125,0.2564740478992462,0.380054235458374,0.0,0.04461839381393083,24,933.48
0.1,80.07,78.69,51.48306213468096,0.20221909661439355,51.52120590209961,35.859375,0.2019985467195511,0.2925563454627991,0.0,0.021120007306380906,9,929.29
